Sl. No.,Item,Quantity,Price,Purchase Link,,
1,Raspberry Pi 3 B,1,"INR 2,726.78",https://in.element14.com/raspberry-pi/raspberrypi3-modb-1gb/sbc-raspberry-pi-3-mod-b-1gb-ram/dp/2525225,,
2,Arduino Mega 2360,1,INR 536,https://robu.in/product/mega-2560-atmega2560-16au-board-without-usb-cable/?gclid=Cj0KCQjwrrXtBRCKARIsAMbU6bEp9jeNAUYntCyH5mQZgtlBES8t50CTlqRcSdF8ermEJk-fCF_7tPwaAm5DEALw_wcB,,
3,Arduino Pro Mini,1,INR 200,,,
4,Motors,4,INR 2556,,,
5,Arduino Mega,1,INR 536,,,
6,Raspberry Pi,1,INR 3000,,,
7,Motor Drivers,3,INR 160,,,
8,Linear Actuator,1,INR 1777,,,
9,Decawave,1,INR 1775,,,
10,12V Battery,1,INR 1150,,,
11,IMU 9250,1,INR 430,,,
12,PCBâ€™s,3,INR 28.38,,,
13,Buzzer Alarm,1,INR 88,,,
14,LM2596 DC-DC Buck Converter,1,INR 159,,,
15,Standoffs,30,INR 1.42,,,
16,Ribbon Cable  ,6,INR 45,,,
17,Level Converter,1,INR 65,,,
18,Toggle Switch,1,INR 20,,,